h2,ch4,c2h6,c2h4,c2h2,act
0.0001,116.0,70.0,0.0001,0.0001,4
13.87,339.34,128.22,554.52,0.0,2
8.0,73.4,19.7,106.6,0.4,2
131.0,253.0,2.0,357.0,97.0,2
320.0,131.0,187.0,127.0,0.001,4
450.0,91.0,18.0,102.0,32.0,6
69.0,174.0,267.0,15.0,0.001,4
345.0,112.3,27.5,51.5,58.8,3
6.0,197.0,476.9,16.9,0.001,4
68.0,78.0,103.0,136.0,0.001,2
18.0,30.0,146.0,8.0,0.001,4
155.0,49.0,69.3,42.0,10.7,1
38.07,295.58,86.41,403.64,2.67,2
307.0,22.0,2.0,33.0,109.0,1
180.85,0.574,0.234,0.188,0.0,6
20.0,132.0,61.0,17.0,0.001,4
15.9445,30.0131,4.9709,48.7713,0.3001,2
63.0,149.6,57.5,276.0,0.0001,2
1.0,16.0,1.0,70.0,12.0,2
30.0,51.0,12.0,54.0,0.001,2
4.4,105.1,34.3,125.1,0.0,2
10.0,26.0,147.0,6.0,0.001,4
92.18,75.4,15.03,1.75,0.0,6
135.0,27.0,24.0,9.0,13.0,3
73.0,8.0,4.0,2.0,12.0,6
15.0,139.0,160.0,343.0,0.001,5
119.0,8.0,23.3,7.9,12.3,3
25.0,29.0,137.0,8.0,0.001,4
12.0,338.0,95.0,550.0,0.0,2
29.0,7.52,5.5,14.8,5.4,1
31.0,63.0,246.0,714.0,7.0,5
78.0,70.1,294.8,635.8,12.2,5
30.0,51.0,12.0,54.0,0.0001,2
151.0,242.0,68.0,232.0,0.001,5
720.0,7.0,0.001,15.0,101.0,3
12.0,6.0,5.0,5.0,45.0,3
0.001,21.0,0.001,0.001,40.0,1
420.0,200.0,14.0,230.0,180.0,1
126.0,251.0,106.0,180.0,26.0,6
22.2,50.7,25.1,56.9,0.0,5
11.0,13.0,2.0,127.0,0.001,2
58.13,233.7,80.1,291.63,0.0,2
41.0,217.3,97.9,284.3,2.5,5
6.0,127.9,65.5,158.9,0.0,5
65.4,20.2,70.0,39.0,40.2,1
43.0,19.0,3.0,0.001,40.0,1
84.333,8.0593,7.2211,0.3869,0.0,3
440.0,40.0,16.0,16.0,20.0,2
35.0,30.0,10.0,93.0,7.1,2
283.0,18.0,6.0,14.0,36.0,3
66.0,8.27,8.21,9.21,8.21,3
20.0,31.0,1.0,44.0,4.0,2
60.0,10.0,4.0,4.0,4.0,3
29.0,71.0,158.0,20.0,0.001,4
181.0,262.0,41.0,28.0,0.0,4
53.3,352.2,173.5,525.0,1.5,2
8.5,79.3,20.3,108.6,0.5,2
225.5,17.6,8.4,3.0,0.0,6
0.001,0.001,0.001,142.0,0.001,2
1.4,126.5,35.5,127.7,0.0,2
36.0,30.0,10.0,93.0,7.1,2
60.0,40.0,6.9,110.0,70.0,1
35.0,11.0,0.0001,7.0,146.0,1
17.0,40.0,11.0,86.0,0.001,2
26.0,398.0,85.0,319.0,0.001,5
4.0,88.0,213.0,14.0,35.0,1
345.0,112.3,27.5,51.5,58.8,3
27.16,306.57,64.28,434.12,1.43,2
162.0,35.0,5.6,30.0,44.0,1
128.0,35.0,213.0,17.0,0.001,4
46.0,11.0,4.0,46.0,71.0,1
650.0,53.0,35.0,20.0,0.0001,6
102.0,6.0,6.0,7.0,10.0,3
105.0,169.4,59.1,347.6,1.8,2
1043.0,38.0,5.0,0.7,0.0,6
568.0,26.5,6.9,2.1,0.0,6
0.001,33.7,136.0,11.4,0.001,4
55.0,159.0,114.0,493.0,0.001,2
43.0,28.0,72.0,9.0,0.001,4
81.0,158.1,30.2,254.0,4.0,2
56.0,286.0,96.0,928.0,7.0,2
5.7,207.0,116.7,291.1,0.6,5
24.0,47.0,113.0,10.0,0.001,4
16.0,24.0,1.0,49.0,10.0,2
97.81,15.87,2.71,8.1,24.36,3
3.0,117.5,61.4,145.7,0.0,5
2.5,92.7,24.5,105.2,0.0,2
73.0,177.0,37.0,52.0,0.001,5
7.0,72.6,17.3,98.3,0.5,2
27.0,51.0,0.001,153.0,0.001,2
0.001,0.001,10.0,5.0,35.0,1
58.0,103.0,6.0,251.0,51.0,2
88.0,9.0,0.0001,0.03,0.0001,6
19.0,47.0,27.0,62.0,0.001,5
94.0,195.0,14.0,153.0,15.0,2
119.0,8.0,20.0,0.001,21.0,3
15.21,61.25,53.94,81.83,0.0,4
0.001,3.4,0.001,54.0,0.001,2
163.0,26.0,7.0,19.0,133.0,3
33.0,15.2,2.5,4.0,14.0,3
56.0,78.0,18.0,21.0,0.0,4
46.0,147.0,27.0,150.0,0.0001,2
10.6,218.2,110.7,303.2,0.0,5
181.0,262.0,41.0,28.0,0.001,4
20.0,19.0,45.0,77.0,0.001,2
79.0,40.0,264.0,10.0,0.0001,4
134.0,13.0,156.0,0.001,0.001,6
53.0,189.0,25.0,295.0,5.0,2
32.0,60.6,34.5,151.3,0.0,2
34.0,83.0,100.0,136.0,0.001,2
20.0,1.0,4.0,11.0,44.0,3
5.3,108.1,34.2,133.4,0.0,2
45.0,125.0,111.0,25.0,0.001,4
67.0,386.0,122.0,405.0,0.0,2
26.0,398.0,85.0,319.0,0.0001,5
42.0,98.0,156.0,610.0,0.0,2
45.33,352.5,96.58,568.7,1.803,2
18.32,315.17,58.34,387.33,0.0,2
62.3063,11.1903,1.8599,10.0123,14.6311,1
13.2,18.7,97.4,79.5,4.7,4
179.0,29.0,10.0,17.0,33.0,3
83.714,8.067,5.175,3.0441,0.0,3
11.68,260.47,122.2,476.83,0.0,2
30.1,17.1,2.2,5.5,5.2,3
78.0,66.0,283.0,2.6,0.001,4
74.8,30.1,82.3,13.6,0.001,4
56.0,286.0,96.0,928.0,7.0,2
135.0,466.0,9.0,502.0,70.0,2
65.2,20.0,3.9,8.13,25.1,3
