k_neighbors: 8, Depth: 12, Accuracy: 83.97%
k_neighbors: 8, Depth: 13, Accuracy: 84.32%
k_neighbors: 8, Depth: 14, Accuracy: 84.67%
k_neighbors: 8, Depth: 15, Accuracy: 83.97%
k_neighbors: 8, Depth: 16, Accuracy: 84.67%
k_neighbors: 8, Depth: 17, Accuracy: 84.67%
k_neighbors: 8, Depth: 18, Accuracy: 83.97%
k_neighbors: 8, Depth: 19, Accuracy: 84.32%
k_neighbors: 8, Depth: 20, Accuracy: 83.97%
k_neighbors: 9, Depth: 1, Accuracy: 65.85%
k_neighbors: 9, Depth: 2, Accuracy: 78.05%
k_neighbors: 9, Depth: 3, Accuracy: 78.40%
k_neighbors: 9, Depth: 4, Accuracy: 79.79%
k_neighbors: 9, Depth: 5, Accuracy: 81.18%
k_neighbors: 9, Depth: 6, Accuracy: 82.58%
k_neighbors: 9, Depth: 7, Accuracy: 83.97%
k_neighbors: 9, Depth: 8, Accuracy: 83.97%
k_neighbors: 9, Depth: 9, Accuracy: 83.62%
k_neighbors: 9, Depth: 10, Accuracy: 83.62%
k_neighbors: 9, Depth: 11, Accuracy: 83.62%
k_neighbors: 9, Depth: 12, Accuracy: 84.67%
k_neighbors: 9, Depth: 13, Accuracy: 86.06%
k_neighbors: 9, Depth: 14, Accuracy: 84.67%
k_neighbors: 9, Depth: 15, Accuracy: 86.41%
k_neighbors: 9, Depth: 16, Accuracy: 85.37%
k_neighbors: 9, Depth: 17, Accuracy: 85.71%
k_neighbors: 9, Depth: 18, Accuracy: 85.02%
k_neighbors: 9, Depth: 19, Accuracy: 85.37%
k_neighbors: 9, Depth: 20, Accuracy: 85.37%
k_neighbors: 10, Depth: 1, Accuracy: 67.94%
k_neighbors: 10, Depth: 2, Accuracy: 79.44%
k_neighbors: 10, Depth: 3, Accuracy: 81.53%
k_neighbors: 10, Depth: 4, Accuracy: 82.23%
k_neighbors: 10, Depth: 5, Accuracy: 80.84%
k_neighbors: 10, Depth: 6, Accuracy: 83.28%
k_neighbors: 10, Depth: 7, Accuracy: 83.97%
k_neighbors: 10, Depth: 8, Accuracy: 83.97%
k_neighbors: 10, Depth: 9, Accuracy: 85.02%
k_neighbors: 10, Depth: 10, Accuracy: 85.37%
k_neighbors: 10, Depth: 11, Accuracy: 84.67%
k_neighbors: 10, Depth: 12, Accuracy: 85.02%
k_neighbors: 10, Depth: 13, Accuracy: 85.02%
k_neighbors: 10, Depth: 14, Accuracy: 85.37%
k_neighbors: 10, Depth: 15, Accuracy: 85.37%
k_neighbors: 10, Depth: 16, Accuracy: 85.02%
k_neighbors: 10, Depth: 17, Accuracy: 84.67%
k_neighbors: 10, Depth: 18, Accuracy: 85.71%
k_neighbors: 10, Depth: 19, Accuracy: 85.02%
k_neighbors: 10, Depth: 20, Accuracy: 85.37%
